epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,341.315,1.65011,2.83245,1.81437,0.86606,0.3896,0.66906,0.32868,1.30716,3.04491,1.29382,0.00329218,0.00329218,0.0703704
2,689.326,1.44433,1.89908,1.53466,0.55172,0.74146,0.59752,0.29184,1.4476,3.32996,1.37234,0.00655992,0.00655992,0.0403048
3,1023.12,1.4662,1.77267,1.56661,0.75907,0.74699,0.81449,0.39667,1.71489,2.17994,1.56797,0.00976166,0.00976166,0.0101732
4,1378.45,1.48432,1.76001,1.62548,0.76218,0.53012,0.66464,0.24755,1.82284,2.58922,1.66408,0.009703,0.009703,0.009703
5,1755.13,1.46385,1.7002,1.5958,0.69633,0.6747,0.66206,0.21225,2.1213,2.71904,1.94767,0.009604,0.009604,0.009604
6,2130.65,1.46526,1.66021,1.59859,0.69529,0.68675,0.72281,0.28829,1.93692,2.39816,1.80997,0.009505,0.009505,0.009505
7,2502.52,1.40499,1.54663,1.58192,0.88228,0.81928,0.88994,0.35602,1.71891,1.82257,1.51516,0.009406,0.009406,0.009406
8,2875.85,1.37774,1.40317,1.53014,0.86719,0.86535,0.91023,0.38221,1.99031,1.62465,1.65027,0.009307,0.009307,0.009307
9,3244.02,1.45441,1.45599,1.6034,0.77813,0.78313,0.77426,0.32527,1.95521,1.76771,1.81144,0.009208,0.009208,0.009208
10,3610.96,1.43879,1.43301,1.56421,0.89318,0.84337,0.91812,0.50948,1.54587,1.25747,1.41076,0.009109,0.009109,0.009109
11,3979.08,1.37334,1.3821,1.53044,0.93758,0.89157,0.93108,0.44967,1.65114,1.36867,1.52387,0.00901,0.00901,0.00901
12,4336.99,1.36431,1.33971,1.52823,0.93433,0.90361,0.96055,0.47239,1.56899,1.17309,1.43133,0.008911,0.008911,0.008911
13,4728.4,1.38425,1.35201,1.55316,0.87749,0.83133,0.92562,0.514,1.48023,1.30038,1.36356,0.008812,0.008812,0.008812
14,5103.63,1.35585,1.30725,1.50855,0.97468,0.9275,0.95976,0.42948,1.68136,1.23577,1.45374,0.008713,0.008713,0.008713
15,5487.34,1.3543,1.31128,1.5142,0.93388,0.95181,0.97858,0.59759,1.31446,1.05108,1.24295,0.008614,0.008614,0.008614
16,5876.77,1.35625,1.30621,1.52742,0.99345,0.86747,0.97235,0.55765,1.46067,1.15626,1.35301,0.008515,0.008515,0.008515
17,6247.28,1.31218,1.30912,1.4873,0.99081,0.89157,0.98,0.57974,1.353,0.99345,1.31939,0.008416,0.008416,0.008416
18,6620.64,1.29485,1.25992,1.49079,0.98471,0.91566,0.97466,0.41717,1.87567,1.06121,1.54526,0.008317,0.008317,0.008317
19,6998.87,1.29403,1.26186,1.49291,0.95931,0.85213,0.95631,0.46478,1.66115,1.10509,1.43355,0.008218,0.008218,0.008218
20,7355.1,1.28112,1.2061,1.46591,0.9561,0.95181,0.96848,0.61179,1.31251,0.94656,1.28816,0.008119,0.008119,0.008119
