epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.53,2.27591,4.3577,1.89693,0.00885,0.30324,0.01851,0.0056,1.91356,4.16771,1.52289,0.00327485,0.00327485,0.0705263
2,183.737,1.79174,3.42353,1.50927,0.14823,0.19035,0.13739,0.04909,2.08814,3.10207,1.61403,0.00654871,0.00654871,0.0404668
3,279.181,1.77188,2.62393,1.56124,0.18931,0.35567,0.23852,0.07656,2.10909,2.5592,1.69305,0.00976257,0.00976257,0.0103474
4,377.267,1.71333,2.38318,1.51107,0.28419,0.37158,0.30165,0.08198,2.12743,2.5208,1.83934,0.00973,0.00973,0.00973
5,476.999,1.62217,2.16773,1.4645,0.35828,0.43246,0.37801,0.10192,2.62006,2.18929,2.14803,0.00964,0.00964,0.00964
6,575.158,1.62425,2.0812,1.4849,0.53152,0.54429,0.55807,0.20773,2.17101,1.76441,1.7598,0.00955,0.00955,0.00955
7,675.052,1.58579,1.94593,1.45634,0.64556,0.56803,0.61407,0.259,1.93642,1.8057,1.71263,0.00946,0.00946,0.00946
8,773.727,1.55774,1.8764,1.43248,0.68668,0.69218,0.73739,0.36237,1.55486,1.52823,1.49566,0.00937,0.00937,0.00937
9,871.279,1.52074,1.80566,1.42171,0.69517,0.69257,0.7239,0.30429,1.81212,1.56212,1.65653,0.00928,0.00928,0.00928
10,969.267,1.53117,1.76313,1.42494,0.77853,0.75134,0.80551,0.31586,1.83994,1.4865,1.60442,0.00919,0.00919,0.00919
11,1068.08,1.51089,1.74941,1.43542,0.63522,0.71059,0.73107,0.29637,1.9357,1.56212,1.74117,0.0091,0.0091,0.0091
12,1166.29,1.48066,1.70491,1.41265,0.72066,0.742,0.77608,0.31347,1.96453,1.42651,1.64947,0.00901,0.00901,0.00901
13,1265.23,1.486,1.68274,1.40347,0.75223,0.80827,0.80958,0.34507,1.76902,1.38124,1.60367,0.00892,0.00892,0.00892
14,1363.45,1.47973,1.67503,1.39925,0.71665,0.78854,0.81215,0.39014,1.56466,1.34431,1.4924,0.00883,0.00883,0.00883
15,1459.57,1.46163,1.61966,1.39394,0.72576,0.75205,0.76227,0.26886,2.16031,1.4287,1.7724,0.00874,0.00874,0.00874
16,1566.92,1.45075,1.60685,1.38108,0.68076,0.80479,0.77498,0.37023,1.60498,1.38347,1.51211,0.00865,0.00865,0.00865
17,1668.66,1.44066,1.61926,1.38212,0.64972,0.73917,0.74514,0.34521,1.64622,1.32903,1.50456,0.00856,0.00856,0.00856
18,1756.41,1.43941,1.58349,1.38084,0.70538,0.80447,0.7986,0.37818,1.52573,1.30709,1.49612,0.00847,0.00847,0.00847
19,1849.58,1.41964,1.57655,1.36539,0.65112,0.75015,0.72328,0.21929,2.28119,1.44651,1.85722,0.00838,0.00838,0.00838
20,1945.5,1.42523,1.57013,1.36352,0.73057,0.80166,0.84016,0.45702,1.33153,1.17541,1.3861,0.00829,0.00829,0.00829
21,2042.96,1.41746,1.53779,1.35601,0.72069,0.76824,0.81048,0.36537,1.60835,1.41029,1.53505,0.0082,0.0082,0.0082
22,2139.71,1.39811,1.5547,1.35929,0.79004,0.86747,0.85018,0.46378,1.39798,1.12191,1.4443,0.00811,0.00811,0.00811
23,2236.37,1.38985,1.52136,1.34245,0.80115,0.75068,0.83598,0.41403,1.5088,1.23979,1.47016,0.00802,0.00802,0.00802
24,2332.25,1.38819,1.52108,1.3445,0.72245,0.8243,0.83231,0.44985,1.40452,1.21573,1.4966,0.00793,0.00793,0.00793
25,2428.48,1.40884,1.53057,1.35193,0.77586,0.79451,0.8523,0.40195,1.5385,1.22098,1.50339,0.00784,0.00784,0.00784
26,2524.44,1.37043,1.49267,1.33714,0.80716,0.83285,0.85429,0.40577,1.5244,1.20002,1.45944,0.00775,0.00775,0.00775
27,2619.8,1.36652,1.48539,1.33562,0.79554,0.81839,0.8565,0.46294,1.32431,1.16403,1.37574,0.00766,0.00766,0.00766
28,2714.86,1.36405,1.4822,1.3281,0.79758,0.79609,0.84117,0.47257,1.37381,1.14658,1.42094,0.00757,0.00757,0.00757
29,2816.63,1.3745,1.47432,1.33321,0.78454,0.83092,0.84222,0.41034,1.54402,1.13445,1.47403,0.00748,0.00748,0.00748
30,2916.96,1.35813,1.4509,1.32856,0.787,0.80768,0.83178,0.36073,1.75271,1.19625,1.54083,0.00739,0.00739,0.00739
31,3017.97,1.34021,1.45864,1.31987,0.79714,0.86671,0.85839,0.45193,1.45963,1.04405,1.45932,0.0073,0.0073,0.0073
32,3131.79,1.35838,1.43369,1.3192,0.82878,0.81118,0.86547,0.52892,1.19186,1.06368,1.34251,0.00721,0.00721,0.00721
33,3241.01,1.34813,1.42409,1.30902,0.82223,0.86248,0.87945,0.42573,1.60171,1.17958,1.47167,0.00712,0.00712,0.00712
34,3345.45,1.34506,1.42869,1.3141,0.83371,0.8341,0.88288,0.50661,1.25406,1.03975,1.35024,0.00703,0.00703,0.00703
35,3441.36,1.34931,1.43531,1.31998,0.79237,0.85838,0.87746,0.54296,1.13929,1.03361,1.31278,0.00694,0.00694,0.00694
36,3536.47,1.32717,1.40121,1.30399,0.86044,0.85615,0.89324,0.49797,1.35944,0.9889,1.38482,0.00685,0.00685,0.00685
37,3631.65,1.32155,1.40092,1.29757,0.81859,0.84352,0.89813,0.54453,1.20446,0.97004,1.33813,0.00676,0.00676,0.00676
38,3727.57,1.33845,1.4122,1.31611,0.81447,0.86722,0.89207,0.51248,1.29095,0.98084,1.35304,0.00667,0.00667,0.00667
39,3823.84,1.32053,1.403,1.31174,0.81655,0.84715,0.86019,0.42901,1.54735,1.13763,1.42832,0.00658,0.00658,0.00658
40,3919.55,1.32514,1.37964,1.30847,0.79364,0.82682,0.84829,0.38526,1.73324,1.14049,1.55238,0.00649,0.00649,0.00649
41,4015.13,1.32614,1.4025,1.30451,0.85097,0.79929,0.89174,0.52011,1.28844,0.98706,1.33878,0.0064,0.0064,0.0064
42,4110.67,1.31366,1.35669,1.285,0.78243,0.84971,0.8684,0.53166,1.21447,0.97959,1.32931,0.00631,0.00631,0.00631
43,4205.97,1.30408,1.34941,1.28403,0.8114,0.84665,0.88719,0.52734,1.24912,0.96837,1.36632,0.00622,0.00622,0.00622
44,4301.69,1.30803,1.35841,1.30324,0.8274,0.88173,0.91081,0.50315,1.3809,0.93839,1.3684,0.00613,0.00613,0.00613
45,4397.7,1.31548,1.37998,1.30017,0.83943,0.86729,0.90145,0.55324,1.18377,0.91131,1.29563,0.00604,0.00604,0.00604
46,4492.87,1.29165,1.33616,1.2803,0.83387,0.88318,0.89776,0.48626,1.41156,0.95501,1.37569,0.00595,0.00595,0.00595
47,4588.28,1.30136,1.35781,1.29253,0.8599,0.86337,0.90755,0.54851,1.21566,0.89602,1.31405,0.00586,0.00586,0.00586
48,4684.18,1.3032,1.35091,1.28982,0.84415,0.87179,0.91109,0.49726,1.39833,0.9914,1.38324,0.00577,0.00577,0.00577
49,4780.28,1.31215,1.34913,1.29037,0.84174,0.88203,0.9158,0.55611,1.19437,0.89288,1.31012,0.00568,0.00568,0.00568
50,4875.79,1.30283,1.32942,1.29334,0.84721,0.89449,0.91878,0.50794,1.37543,0.92384,1.3676,0.00559,0.00559,0.00559
51,4971.17,1.28191,1.32653,1.27922,0.86608,0.87591,0.90674,0.51253,1.34562,0.93778,1.36391,0.0055,0.0055,0.0055
52,5067.08,1.27858,1.31768,1.28599,0.86959,0.90226,0.92836,0.55491,1.27139,0.83495,1.33093,0.00541,0.00541,0.00541
53,5162.75,1.28509,1.33402,1.29504,0.85335,0.89154,0.90946,0.57672,1.15631,0.82887,1.28126,0.00532,0.00532,0.00532
54,5258.93,1.28892,1.34466,1.28611,0.85745,0.88046,0.91204,0.53364,1.27135,0.88044,1.33727,0.00523,0.00523,0.00523
