Frame Number,Detected Reading
0,011
1,011
2,011
3,011
4,011
5,011
6,011
7,011
8,011
9,011
10,011
11,011
12,011
13,011
14,011
15,011
16,011
17,011
18,011
19,011
20,011
21,102
22,062
23,1022
24,1022
25,1022
26,1022
27,1022
28,1022
29,1022
30,1022
31,1022
32,1022
33,1022
34,1022
35,1022
36,1022
37,1022
38,1022
39,1022
40,1022
41,1022
42,1022
43,1022
44,1022
45,1022
46,1022
47,1022
48,1022
49,1022
50,1022
51,1022
52,1022
53,1022
54,1022
55,1022
56,1022
57,1022
58,1022
59,1022
60,1022
61,1022
62,1022
63,1022
64,1022
65,1022
66,1022
67,1022
68,1022
69,1022
70,1022
71,1022
72,1022
73,1022
74,112
75,1602
76,1602
77,120
78,123
79,123
80,123
81,123
82,123
83,123
84,123
85,123
86,123
87,123
88,123
89,123
90,123
91,123
92,123
93,123
94,123
95,123
96,123
97,123
98,123
99,123
100,123
101,123
102,123
103,123
104,123
105,123
106,123
107,123
108,123
109,123
110,123
111,123
112,123
113,123
114,123
115,123
116,123
117,123
118,123
119,123
120,123
121,123
122,123
123,12123
124,1233
125,12383
126,12383
127,1123
128,11234
129,1234
130,1234
131,1234
132,1234
133,1234
134,1234
135,1234
136,1234
137,1234
138,1234
139,1234
140,1234
141,1234
142,1234
143,1234
144,1234
145,1234
146,1234
147,1234
148,1234
149,1234
150,1234
151,1234
152,1234
153,1234
154,1234
155,1234
156,1234
157,1234
158,1234
159,1234
160,1234
161,1234
162,1234
163,1234
164,1234
165,1234
166,1234
167,1234
168,1234
169,1234
170,1234
171,1234
172,1234
173,1234
174,1234
175,1234
176,1234
177,1234
178,1234
179,1234
180,1234
181,16234
182,166945
183,16695
184,195
185,12345
186,12345
187,12345
188,12345
189,12345
190,12345
191,12345
192,12345
193,12345
194,12345
195,12345
196,12345
197,12345
198,12345
199,12345
200,12345
201,12345
202,12345
203,12345
204,12345
205,12345
206,12345
207,12345
208,12345
209,12345
210,12345
211,12345
212,12345
213,12345
214,12345
215,1669456
216,166956
217,126956
218,126456
219,123456
220,123456
221,123456
222,123456
223,123456
224,123456
225,123456
226,123456
227,123456
228,123456
229,123456
230,123456
231,123456
232,123456
233,123456
234,123456
235,123456
236,123456
237,123456
238,123456
239,123456
240,123456
241,123456
242,123456
243,123456
244,123456
245,123456
246,123456
247,123456
248,123456
249,123456
250,123456
251,123456
252,123456
253,123456
254,123456
255,123456
256,1123456
257,6294556
258,6694568
259,1269568
260,1239568
261,1234567
262,1234567
263,1234567
264,1234567
265,1234567
266,1234567
267,1234567
268,1234567
269,1234567
270,1234567
271,1234567
272,1234567
273,1234567
274,1234567
275,1234567
276,1234567
277,1234567
278,1234567
279,1234567
280,1234567
281,1234567
282,1234567
283,1234567
284,1234567
285,1234567
286,1234567
287,1234567
288,1234567
289,1234567
290,1234567
291,1234567
292,1234567
293,1234567
294,1234567
295,1234567
296,1234567
297,1234567
298,1234567
299,1234567
300,1234567
301,1234567
302,3946987
303,89698
304,389698
305,389698
306,3459678
307,349678
308,345678
309,345678
310,345678
311,345678
312,345678
313,345678
314,345678
315,345678
316,345678
317,345678
318,345678
319,345678
320,345678
321,345678
322,345678
323,345678
324,345678
325,345678
326,345678
327,345678
328,345678
329,345678
330,345678
331,345678
332,345678
333,345678
334,345678
335,345678
336,345678
337,345678
338,345678
339,345678
340,345678
341,345678
342,345678
343,345678
344,345678
345,345678
346,945888
347,9456888
348,9456889
349,45689
350,456789
351,456789
352,456789
353,456789
354,456789
355,456789
356,456789
357,456789
358,456789
359,456789
360,456789
361,456789
362,456789
363,456789
364,456789
365,456789
366,456789
367,456789
368,456789
369,456789
370,456789
371,456789
372,456789
373,456789
374,456789
375,456789
376,456789
377,456789
378,456789
379,456789
380,456789
381,456789
382,456789
383,456789
384,456789
385,456789
386,456789
387,456789
388,456789
389,56789
390,456789
391,456789
392,456789
393,456789
394,456789
395,456789
396,456789
397,456789
398,456789
399,456789
400,456789
401,456789
402,456789
403,456789
404,456789
405,456789
406,456789
407,456789
408,456789
409,456789
410,456789
411,456789
412,456789
413,456789
414,456789
415,456789
416,456789
417,456789
418,456789
419,456789
420,456789
421,456789
422,456789
423,456789
424,456789
425,456789
426,456789
427,456789
428,456789
429,456789
430,456789
431,456789
432,456789
433,456789
434,456789
435,4568899
436,4568899
437,4568899
438,56899
439,56789
440,56789
441,567891
442,567891
443,567891
444,567891
445,567891
446,567891
447,567891
448,567891
449,567891
450,567891
451,567891
452,567891
453,567891
454,567891
455,567891
456,567891
